Award,Domicile,Father's Name,Mother's Name,Name,Rank at time of Award,Service No.,Service Particulars of Awardee,Unit,Year of Award
MAHA VIR CHAKRA,DEHRADUN,NA,NA,LT COL VED PARKASH AIRY,LT COL,IC-7750,,3 GDRS,1972 (Republic Day)
MAHA VIR CHAKRA,GURGAON,NA,NA,LT COL RAJ MOHAN VOHRA,LT COL,IC-6121,,4 HORSE,1972 (Republic Day)
MAHA VIR CHAKRA,DEHRADUN,NA,KISHEN KANWAR,LT COL HANUT SINGH,LT COL,IC-6126,,17 HORSE,1972 (Republic Day)
MAHA VIR CHAKRA,MULTAN,TARA SINGH BAL,NA,MAJ AMARJIT SINGH BAL,MAJ,IC-13377,,17 HORSE,1972 (Republic Day)
MAHA VIR CHAKRA,NEW DELHI,NA,NA,BRIG JOGINDER SINGH BAKSHI,BRIG,IC-4870,,JAT,1972 (Republic Day)
MAHA VIR CHAKRA,"Chamoli, State : UP",Dayanand,Ukha Devi,SEP ANSUYA PRASAD,SEP,9212865,,10 MAHAR,1972 (Republic Day)
MAHA VIR CHAKRA,MUMBAI,NA,NA,"BRIG ARUN SHRIDHAR VAIDYA, MVC, AVSM",BRIG,IC-1701,,9 HORSE,1972 (Republic Day)
MAHA VIR CHAKRA,ROHTAK,SUBHA CHAND AHLAWAT,NA,CAPT DEVINDER SINGH AHLAWAT,CAPT,IC-19161,,10 DOGRA,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,BRIG HARDEV SINGH KLER,BRIG,IC-493,,SIGS,1972 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,A/COMDT RK Wadhwa,A/COMDT,NA,,31 BN BSF,1972
MAHA VIR CHAKRA,DEHRADUN,NA,NA,LT COL SHAMSHER SINGH,LT COL,IC-7018,,8 GUARDS,1972 (Independence Day)
MAHA VIR CHAKRA,AMRITSAR,OM PRAKAH BERRY,NA,MAJ VIJAY KUMAD BERRY,MAJ,IC-11567,,4 PARA,1972 (Independence Day)
MAHA VIR CHAKRA,DEHRADUN,NA,NA,BRIG ANAND SARUP,BRIG,IC-4501,,8 GR,1972 (Independence Day)
MAHA VIR CHAKRA,"Nagaur, State- Rajasthan",NA,Smt Kishan Kanwar,NK SUGAN SINGH,NK,2850287,,7 RAJ RIF,1972 (Independence Day)
MAHA VIR CHAKRA,DEHRADUN,NA,NA,BRIG KAILAS PRASAD PANDE,BRIG,IC-4128,,ARTY,1972 (Independence Day)
MAHA VIR CHAKRA,CHANDIGARH,NA,NA,LT COL NARINDER SINGH SANDHU,LT COL,IC-6638,,10 DOGRA,1972 (Independence Day)
MAHA VIR CHAKRA,PUNE,NA,NA,LT COL ARUN BHIMRAO HAROLIKAR,LT COL,IC-7916,,5 GR,1972 (Independence Day)
MAHA VIR CHAKRA,Lucknow,NA,NA,Lieutenant ARVIND SINGH,Lieutenant,02283-N,,,1988
MAHA VIR CHAKRA,,NA,NA,BRIG MANJIT SINGH,BRIG,IC-12933,,INF,1988 (Republic Day)
MAHA VIR CHAKRA,LUCKNOW,HS BAWA,NA,LT COL INDER BAL SINGH BAWA,LT COL,IC-17621,,4/5 GR,1988 (Republic Day)
MAHA VIR CHAKRA,COORG,PM SOMAIH,NA,MAJ PUTTICHANDA SOMAIAH GANAPATHI,MAJ,IC-28702,,8 MAHAR,1988 (Republic Day)
MAHA VIR CHAKRA,VARANASI,A K CHATTERJEE,NA,MAJ KRISHNA GOPAL CHATTERJEE,MAJ,IC-36449,,3/4 GR,1988 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,SUB SANSAR CHAND,SUB,JC-127266,,JAK LI,1988 (Republic Day)
MAHA VIR CHAKRA,"DAILEKH,  STATE – NEPAL",NA,NA,L/HAV NAR BAHADUR ALE,L/HAV,5341315,,4 GR,1988 (Republic Day)
MAHA VIR CHAKRA,"KASKI,  STATE – NEPAL",NA,NA,NK PREM BAHADUR GURUNG,NK,5342711,,4 GR,1988 (Republic Day)
MAHA VIR CHAKRA,Mysore (Karnataka),Shri AB Bopayya,NA,SQUADRON LEADER AJJAMADA BOPAYYA DEVAYYA,,4810,"SQN LDR AB DEVAYA, MVC (4810) GD(P) (POSTHUMOUS)",,1988 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,CAPT PRATAP SINGH,CAPT,SS-31468,,75 MED REGT,1989 (Republic Day)
MAHA VIR CHAKRA,JULUNDHER,B M BAKSHI,NA,COL VIJAY KUMAR BAKSHI,COL,IC-16709,,6/8 GR,1989 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,2/LT RAJEEV SANDHU,2/LT,SS-33343,,7 ASSAM,1990 (Republic Day)
MAHA VIR CHAKRA,,NA,NA,MAJ SONAM WANGCHUK,MAJ,IC-45952,,LADAKH SCOUTS,1999 (Independence Day)
MAHA VIR CHAKRA,DEHRADUN,NA,NA,MAJ VIVEK GUPTA,MAJ,IC-51152,,2 RAJ RIF,1999 (Independence Day)
MAHA VIR CHAKRA,NAINITAL,KS  ADHIKARI,MALTI  ADHIKARI,MAJ RAJESH SINGH ADHIKARI,MAJ,IC-52574,,"MECH INF, 18 GDRS",1999 (Independence Day)
MAHA VIR CHAKRA,RANGA REDDY,JAGANNATH  ACHARYA,VIMALA  ACHARYA,MAJ PADMAPANI ACHARYA,MAJ,IC-55072,,2 RAJ RIF,1999 (Independence Day)
MAHA VIR CHAKRA,:NEW DELHI,S K NAYYAR,M NAYYAR,CAPT ANUJ NAYYAR,CAPT,IC-57111,,17 JAT,1999 (Independence Day)
MAHA VIR CHAKRA,KOHIMA,NEISELIE KENGURUSE,DINUO KENGURUSE,CAPT NEIKEZHAKUO KENGURUSE,CAPT,IC-58396,,"ASC, 2 RAJ RIF",1999 (Independence Day)
MAHA VIR CHAKRA,EAST KHASI HILLS,KEISHINGH PETER,SAILY NONGRUM,LT KEISHING CLIFFORD NONGRUM,LT,SS-37111,,12 JAK LI,1999 (Independence Day)
MAHA VIR CHAKRA,,NA,NA,LT BALWAN SINGH,LT,SS-37691,,18 GDRS,1999 (Independence Day)
MAHA VIR CHAKRA,"Sikars, State- Rajasthan",Shri Sivedan Singh,Smt Raj Gore,NK DIGENDRA KUMAR,NK,2883178,,2 RAJ RIF,1999 (Independence Day)
MAHA VIR CHAKRA,Mokokchung (Nagaland),Arennungba,Smt Aoinla,SEP IMLIAKUM,SEP,14702937,,2 NAGA,2000 (Republic Day)
MAHA VIR CHAKRA,AMBALA,LT COL TP SINGH,SURJIT KAUR,CAPT GURJINDER SINGH SURI,CAPT,IC-56980,,"AOC, 12 BIHAR",2000 (Independence Day)
